nome;seguidores;tweets;seguindo;curtidas;retweets;favorites;hashtags;mentions
Frente BrasilPopular;9950;2855;155;278;0;0;;;
🗣POVO sem MEDO🚶;3508;3534;454;3816;0;0;;;
Ocupapolitica;14;0;1;0;0;0;;;
Movimento Agora!;2303;634;138;385;0;0;;;
Bancada Ativista;294;43;74;16;0;0;;;
RenovaBR;1715;146;193;104;0;0;;;
Mídia NINJA;375258;33145;1821;3806;0;0;;;
342 Artes;1480;82;1;6;0;0;;;
MST Oficial;88809;14981;268;534;0;0;;;
MPL - São Paulo;5772;3238;162;193;0;0;;;
UNE;64949;19301;649;1724;0;0;;;
CUT Brasil;56500;18300;874;3426;3;3;#LulaLivre,3 ;;
Levante da Juventude;8762;9192;147;265;0;0;;;
Resistência;327;2491;237;107;0;0;;;
UJS;21700;21167;2433;1873;0;0;;;
UJR Brasil;134;27;70;15;0;0;;;
Faísca!;661;588;631;445;0;0;;;
Pão e Rosas;628;888;303;571;0;0;;;
UBES;22937;11491;861;238;0;0;;;
UJC Brasil;589;289;41;14;0;0;;;
Juv. Anticapitalista;623;4040;85;187;0;0;;;
UBM Oficial;172;607;150;0;0;0;;;
MAB;4108;1911;899;550;0;0;;;
CONTAG;1389;1982;523;202;0;0;;;
Geledés Mulher Negra;32962;33184;195;118;0;0;;;
Marcha das Mulheres;20292;6219;390;157;0;0;;;
Não Me Kahlo;91433;12530;1048;4028;0;0;;;
Vem Pra Rua Brasil;102044;15253;465;1379;0;0;;VemPraRua_br,1 ;
Revoltados ON LINE;45236;23743;2888;801;0;0;;;
EPL;9852;6023;294;355;0;0;;;
EscolaSemPartido;19561;1046;94;289;0;0;;;
Inst. MercadoPopular;5627;3200;210;272;0;0;;;
Libertarianismo +;17426;16937;78;12;0;0;;;
Mov. Brasil Livre;135400;15107;576;558;0;0;;;
MCC;7810;160576;301;0;0;0;;;
LIVRES;11082;2125;139;446;0;0;;;
NasRuas;14498;29704;2311;2535;0;0;;;
Lula pelo Brasil;329659;13225;468;1279;0;0;;;
Fernando Haddad;595503;1682;205;67;0;0;;;
Ciro Gomes;150939;305;3;38;0;0;;;
João Doria;888438;13112;364;111;0;0;;;
Geraldo Alckmin;994388;32664;415;116;0;0;;;
Jair Bolsonaro;1154250;4113;186;848;0;0;;;
Henrique Meirelles;45007;572;173;7;0;0;;;
Michel Temer;962624;14056;571;1129;0;0;;;
Marina Silva;1915849;8647;449;2513;0;0;;;
Levy Fidelix;20844;8009;433;117;0;0;;;
Pastor Everaldo 20;16042;5837;200;434;0;0;;;
Flavio Rocha;25082;4012;599;504;0;0;;;
Roberto Justus Ofici;1276681;2161;105;11;0;0;;;
Guilherme Boulos;53422;1389;219;331;0;0;;;
Jaques Wagner;64167;8076;667;442;0;0;;;
Fernando Collor;28325;3035;257;2;0;0;;;
Cristovam Buarque;780660;47533;437;322;0;0;;;
