nome;seguidores;tweets;seguindo;curtidas;retweets;favorites;hashtags;mentions
Frente BrasilPopular;9875;2855;155;275;18;9;#30diasdeResistência #LulaLivre ;MidiaNINJA J_LIVRES ptbrasiI ManuelaDavila 
🗣POVO sem MEDO🚶;3456;3441;453;3702;0;0;;
Ocupapolitica;14;0;1;0;0;0;;
Movimento Agora!;2287;627;138;381;6;17;#PraResolverAgora #Conheça #NossosMembros #Agora #MulheresNaPolítica #YesWeCan ;joeniac 
Bancada Ativista;293;43;74;16;0;0;;
RenovaBR;1674;142;193;104;0;0;;
Mídia NINJA;374630;32991;1818;3808;2031;5290;#AoVivo #LulaLivre #30diasdeResistência #ComidaÉLuta #cinemapelademocracia #30diasporMarielle #VidasLGBTsImportam #ParemDeNosMatar #QuemOcupaNãoTemCulpa #MTSTaLutaÉPraValer #Luto #lulivre ;Brasil_de_Fato MST_Oficial redebrasilatual levantepopular MidiaNINJA Gilmar_Cartoons revistaforum bbcbrasil NexoJornal ChicoCesarOf NLUCON_OFICIAL elpais_brasil dw_brasil 
342 Artes;1475;81;1;5;0;0;;
MST Oficial;88533;14979;267;533;547;1298;#FeiraMST #ComidaeLuta #ComidaÉLuta #ComidaEVida ;MST_Oficial LemusteleSUR DeputadoFederal DepValmir 
MPL - São Paulo;5766;3237;163;193;6;6;;
UNE;64888;19288;648;1724;0;1;;
CUT Brasil;56365;18226;869;3386;114;97;#30diasdeResistência #LulaLivre #30diasDeResistencia #SouLula ;smabc PTnaCamara 
Levante da Juventude;8668;9189;146;265;168;456;#30DiasDeResistência #LulaLivre ;MidiaNINJA MST_Oficial 
Juntos;1;0;0;0;0;0;;
Resistência;325;2462;237;106;9;36;;
UJS;21663;21163;2431;1871;60;107;#30diasdeResistência #OcupaOPoder #LulaLivre ;MST_Oficial orlandosilva 
UJR Brasil;134;27;70;15;0;0;;
Faísca!;658;588;632;445;0;0;;
Pão e Rosas;627;888;303;571;0;0;;
UBES;22901;11452;861;238;12;20;#UBESsetentinha ;
UJC Brasil;582;289;41;14;0;0;;
Juv. Anticapitalista;623;4032;85;187;3;4;#LulaLivre ;
UBM Oficial;170;604;150;0;1;1;;
MAB;4100;1910;898;550;6;7;#LulaValeALuta #30DiasDeResistência #LulaLivre ;
CONTAG;1386;1980;522;202;0;0;;
Geledés Mulher Negra;32915;33158;195;118;22;56;#geledes #mulhernegra #fotografa #casosderacismo #rihanna #entretenimento #mariellefranco #violenciacontrmulher #zezemota ;
Marcha das Mulheres;20272;6219;390;157;0;0;;
Não Me Kahlo;91263;12493;1048;4013;6;27;;juremawerneck 
Vem Pra Rua Brasil;101840;15170;465;1379;3584;9251;;VemPraRua_br HelioTelho 
Revoltados ON LINE;45174;23737;2890;784;55;155;#MarcelloReis #30diasdeResistência #Enem2018 #RevoltadosONLINE #LulaNaCadeia #SegundaDetremuraSDV #Encontro #Indios #LGBT #LulaLivre #vídeoshowaovivo #LulaBandido #Brasil #BandidoLula ;YouTube 
EPL;9851;6023;294;355;0;0;;
EscolaSemPartido;19357;1030;94;285;0;0;;miguel_nagib GABRlELPlNHElRO stsaraiva ValeConservador PriscilaBCosta_ 
Inst. MercadoPopular;5603;3191;208;269;0;0;;GabrielNemer_T fernandoschuler RankPolitico LuanSperandio goescarlos agenciapublica GuilhermeBoulos pfnery tiagopferraz Gabriel_Groma 
Libertarianismo +;17433;16937;78;12;0;0;;
Mov. Brasil Livre;135099;15055;575;558;418;1685;;YouTube MBLivre renato_battista apyus CrissPaiva 
MCC;7801;160426;301;0;40;100;#Compartilhe ;
LIVRES;11008;2120;137;439;8;39;;EuSouLivres FabioOstermann elenalandau manoferreira 
NasRuas;14452;29702;2311;2537;65;151;#nasruas #agro #agronegocio ;
Lula pelo Brasil;328901;13210;467;1279;998;2481;#LulaLivre #LulaInocente ;
Fernando Haddad;594051;1681;204;67;422;1467;;TheEconomist 
Ciro Gomes;150004;300;3;37;0;0;;
João Doria;887138;13110;364;111;0;0;;
Geraldo Alckmin;993603;32655;415;116;127;614;;
Jair Bolsonaro;1150887;4106;186;845;1937;10610;;HeitorFreireCE 
Henrique Meirelles;44857;564;173;7;98;612;#ChamaoMeirelles ;
Michel Temer;961990;14043;571;1129;148;721;#AoVivo #PoderEmFoco ;sbtpoderemfoco 
Marina Silva;1915331;8645;448;2512;64;335;;brazil_forum 
Levy Fidelix;20814;8008;433;118;1;1;;
Pastor Everaldo 20;16037;5837;200;434;0;0;;pscmulherpara filipepereira20 
Flavio Rocha;24995;4003;599;503;33;260;;AndreSantosJPMM UOL UOLNoticias bbcbrasil minas_25 
Roberto Justus Ofici;1276779;2159;105;11;0;0;;
Guilherme Boulos;48633;1349;214;302;977;3283;#CompartilheAVerdade #BoulosnoRodaViva ;brasil247 
Jaques Wagner;64061;8056;666;442;57;152;#LulaLivre ;LulapeloBrasil 
Fernando Collor;28315;3035;257;2;0;0;;
Cristovam Buarque;780638;47529;438;308;0;0;;
