nome;seguidores;tweets;seguindo;curtidas;hashtags;
Frente BrasilPopular;9870;2847;155;273;
🗣POVO sem MEDO🚶;3450;3441;453;3702;
Ocupapolitica;14;0;1;0;
Movimento Agora!;2281;625;138;380;
Bancada Ativista;293;43;74;16;
RenovaBR;1672;142;193;104;
Mídia NINJA;374573;32955;1818;3806;
342 Artes;1476;81;1;5;
MST Oficial;88456;14976;267;530;
MPL - São Paulo;5768;3236;163;193;
UNE;64880;19287;648;1724;
CUT Brasil;56349;18220;869;3382;
Levante da Juventude;8641;9180;146;265;
Juntos;1;0;0;0;
Resistência;324;2454;237;105;
UJS;21652;21072;2431;1870;
UJR Brasil;133;27;70;15;
Faísca!;656;588;632;445;
Pão e Rosas;626;888;303;571;
UBES;22895;11448;861;238;
UJC Brasil;582;289;41;14;
Juv. Anticapitalista;622;4030;85;187;
UBM Oficial;168;602;150;0;
MAB;4098;1908;898;550;
CONTAG;1386;1980;522;202;
Geledés Mulher Negra;32904;33154;195;119;
Marcha das Mulheres;20267;6219;390;157;
Não Me Kahlo;91184;12491;1049;4011;
Vem Pra Rua Brasil;101767;15139;465;1378;
Revoltados ON LINE;45162;23733;2890;773;
EPL;9853;6023;294;355;
EscolaSemPartido;19321;1030;94;285;
Inst. MercadoPopular;5601;3186;208;266;
Libertarianismo +;17434;16937;78;12;
Mov. Brasil Livre;134991;15046;575;558;
MCC;7796;160390;301;0;
LIVRES;10982;2116;137;438;
NasRuas;14440;29700;2311;2537;
Lula pelo Brasil;328707;13205;467;1279;
Fernando Haddad;593506;1677;204;67;
Ciro Gomes;149824;300;3;37;
João Doria;886723;13110;364;111;
Geraldo Alckmin;993389;32652;415;116;
Jair Bolsonaro;1149990;4103;186;842;
Henrique Meirelles;44826;564;173;7;
Michel Temer;961822;14039;571;1129;
Marina Silva;1915257;8644;448;2512;
Levy Fidelix;20813;8008;433;118;
Pastor Everaldo 20;16039;5837;200;434;
Flavio Rocha;24962;4000;599;503;
Roberto Justus Ofici;1276747;2159;105;11;
Guilherme Boulos;48488;1346;214;299;
Jaques Wagner;64039;8050;666;442;
Fernando Collor;28311;3035;254;2;
Cristovam Buarque;780600;47529;438;308;
