nome;seguidores;tweets;seguindo;curtidas;retweets;favorites;hashtags;mentions
Frente BrasilPopular;9977;2862;155;278;29;27;(#LulaLivre,1);;
🗣POVO sem MEDO🚶;3525;3529;454;3816;0;0;;;
Ocupapolitica;14;0;1;0;0;0;;;
Movimento Agora!;2309;636;138;386;0;0;;;
Bancada Ativista;294;43;74;16;0;0;;;
RenovaBR;1730;146;193;104;0;0;;;
Mídia NINJA;375381;33223;1821;3807;128;289;;(Alma_Preta,1)(claytonnobre,1)(mvbill,1);
342 Artes;1481;82;1;6;0;0;;;
MST Oficial;88899;14983;268;534;0;0;;;
MPL - São Paulo;5775;3239;163;193;0;0;;;
UNE;64961;19304;649;1724;0;0;;;
CUT Brasil;56558;18336;875;3445;0;0;;;
Levante da Juventude;8790;9193;147;266;0;0;;;
Resistência;329;2502;238;108;0;0;;;
UJS;21720;21170;2433;1875;0;0;;;
UJR Brasil;134;27;70;15;0;0;;;
Faísca!;662;588;632;445;0;0;;;
Pão e Rosas;628;888;303;571;0;0;;;
UBES;22948;11499;861;238;0;0;;;
UJC Brasil;589;289;41;14;0;0;;;
Juv. Anticapitalista;626;4048;85;187;0;0;;;
UBM Oficial;172;610;150;0;0;0;;;
MAB;4110;1911;899;550;0;0;;;
CONTAG;1391;1982;523;202;0;0;;;
Geledés Mulher Negra;32997;33195;195;118;0;0;;;
Marcha das Mulheres;20305;6223;390;157;0;0;;;
Não Me Kahlo;91559;12546;1050;4038;11;15;;(UN_Women,1);
Vem Pra Rua Brasil;102136;15295;465;1379;0;0;;(VemPraRua_br,3);
Revoltados ON LINE;45270;23749;2888;807;0;0;;;
EPL;9847;6023;294;355;0;0;;;
EscolaSemPartido;19711;1054;94;290;0;0;;;
Inst. MercadoPopular;5636;3204;210;275;0;0;;(ThomasVConti,1);
Libertarianismo +;17422;16937;78;12;0;0;;;
Mov. Brasil Livre;135622;15138;576;559;155;600;;;
MCC;7812;160670;301;0;3;5;(#Compartilhe,4);;
LIVRES;11138;2132;139;448;0;0;;;
NasRuas;14518;29704;2311;2535;0;0;;;
Lula pelo Brasil;330048;13236;468;1279;0;0;;;
Fernando Haddad;595330;1684;205;67;0;0;;;
Ciro Gomes;151659;309;3;38;0;0;;;
João Doria;889483;13113;364;111;0;0;;;
Geraldo Alckmin;993383;32665;415;116;0;0;;;
Jair Bolsonaro;1155461;4120;185;851;0;0;;;
Henrique Meirelles;45063;579;173;7;0;0;;;
Michel Temer;962594;14063;571;1126;0;0;;;
Marina Silva;1915025;8650;450;2514;0;0;;;
Levy Fidelix;20856;8009;433;117;0;0;;;
Pastor Everaldo 20;16043;5838;200;435;0;0;;;
Flavio Rocha;25118;4021;598;506;0;0;;;
Roberto Justus Ofici;1276624;2162;105;11;0;0;;;
Guilherme Boulos;54395;1401;222;345;0;0;;;
Jaques Wagner;64272;8085;667;442;0;0;;;
Fernando Collor;28322;3036;257;3;0;0;;;
Cristovam Buarque;779391;47543;437;324;0;0;;;
