nome;seguidores;tweets;seguindo;curtidas;retweets;favorites;hashtags;mentions
Frente BrasilPopular;10004;2865;155;278;0;0;;;
🗣POVO sem MEDO🚶;3536;3528;452;3814;0;0;;;
Ocupapolitica;14;0;1;0;0;0;;;
Movimento Agora!;2318;638;138;387;0;0;;;
Bancada Ativista;294;43;74;16;0;0;;;
RenovaBR;1744;147;193;104;0;0;;;
Mídia NINJA;375657;33287;1821;3801;0;0;;;
342 Artes;1481;82;1;6;0;0;;;
MST Oficial;88974;14983;267;534;0;0;;;
MPL - São Paulo;5781;3241;163;193;0;0;;;
UNE;64987;19305;648;1723;0;0;;;
CUT Brasil;56595;18351;872;3447;0;0;;;
Levante da Juventude;8817;9194;147;266;0;0;;;
Resistência;329;2512;238;108;0;0;;;
UJS;21731;21174;2432;1874;0;0;;;
UJR Brasil;134;27;70;15;0;0;;;
Faísca!;663;588;632;449;0;0;;;
Pão e Rosas;627;886;303;539;0;0;;;
UBES;22963;11504;860;238;0;0;;;
UJC Brasil;592;289;41;14;0;0;;;
Juv. Anticapitalista;628;4055;85;187;0;0;;;
UBM Oficial;174;612;150;0;0;0;;;
MAB;4118;1911;898;549;0;0;;;
CONTAG;1394;1982;523;203;0;0;;;
Geledés Mulher Negra;33046;33204;195;118;0;0;;;
Marcha das Mulheres;20315;6223;390;157;0;0;;;
Não Me Kahlo;91655;12579;1050;4048;0;0;;;
Vem Pra Rua Brasil;102304;15368;464;1379;0;0;;(VemPraRua_br,2);
Revoltados ON LINE;45325;23749;2888;807;0;0;;;
EPL;9841;6023;294;355;0;0;;;
EscolaSemPartido;19907;1073;94;294;0;0;;;
Inst. MercadoPopular;5647;3208;210;278;0;0;;;
Libertarianismo +;17423;16937;78;12;0;0;;;
Mov. Brasil Livre;135854;15194;578;560;0;0;;;
MCC;7822;160772;301;0;0;0;;;
LIVRES;11198;2144;140;456;0;0;;;
NasRuas;14586;29707;2310;2534;0;0;;;
Lula pelo Brasil;330734;13241;467;1279;0;0;;;
Fernando Haddad;597681;1687;205;67;0;0;;;
Ciro Gomes;152601;310;3;38;0;0;;;
João Doria;891190;13116;364;111;0;0;;;
Geraldo Alckmin;994309;32667;415;116;0;0;;;
Jair Bolsonaro;1160223;4128;185;861;0;0;;;
Henrique Meirelles;45148;582;173;7;0;0;;;
Michel Temer;963258;14068;571;1126;0;0;;;
Marina Silva;1915815;8652;450;2515;0;0;;;
Levy Fidelix;20849;8011;433;117;1;1;;;
Pastor Everaldo 20;16046;5838;200;435;0;0;;;
Flavio Rocha;25160;4029;598;510;0;0;;;
Roberto Justus Ofici;1276558;2163;105;11;0;0;;;
Guilherme Boulos;55127;1405;221;345;0;0;;;
Jaques Wagner;64457;8086;666;442;0;0;;;
Fernando Collor;28329;3037;257;3;0;0;;;
Cristovam Buarque;780001;47549;437;324;0;0;;;
